State,Year,Month,Indicated,Combined_Value
Arkansas,2019,3.0,Depression,11.76470588235294
Arkansas,2019,4.0,Depression,21.530249110320284
Arkansas,2019,5.0,Depression,21.891418563922944
Arkansas,2019,6.0,Depression,25.595238095238095
Arkansas,2019,7.0,Depression,18.063314711359403
Arkansas,2019,8.0,Depression,21.869782971619365
Arkansas,2019,9.0,Depression,23.488773747841105
Arkansas,2019,10.0,Depression,23.49206349206349
Arkansas,2019,11.0,Depression,21.309192200557103
Arkansas,2019,12.0,Depression,24.356775300171527
Arkansas,2020,1.0,Depression,24.212271973466002
Arkansas,2020,2.0,Depression,22.42798353909465
Arkansas,2020,3.0,Depression,22.58064516129032
Arkansas,2020,4.0,Anxiety,33.7
Arkansas,2020,4.0,Depression,22.36711175616836
Arkansas,2020,5.0,Anxiety,30.425
Arkansas,2020,5.0,Depression,24.081585257548845
Arkansas,2020,6.0,Anxiety,32.875
Arkansas,2020,6.0,Depression,24.099354838709676
Arkansas,2020,7.0,Anxiety,37.166666666666664
Arkansas,2020,7.0,Depression,18.844736842105263
Arkansas,2020,8.0,Anxiety,30.5
Arkansas,2020,8.0,Depression,20.770299401197605
Arkansas,2020,9.0,Anxiety,33.36666666666667
Arkansas,2020,9.0,Depression,24.061366906474824
Arkansas,2020,10.0,Anxiety,35.4
Arkansas,2020,10.0,Depression,24.978146417445483
Arkansas,2020,11.0,Anxiety,38.1
Arkansas,2020,11.0,Depression,21.719485776805257
Arkansas,2020,12.0,Anxiety,38.5
Arkansas,2020,12.0,Depression,25.03322580645161
Arkansas,2021,1.0,Anxiety,36.35
Arkansas,2021,1.0,Depression,21.715698924731182
Arkansas,2021,2.0,Anxiety,35.900000000000006
Arkansas,2021,2.0,Depression,23.838773584905663
Arkansas,2021,3.0,Anxiety,35.55
Arkansas,2021,3.0,Depression,25.405
Arkansas,2021,4.0,Anxiety,28.0
Arkansas,2021,4.0,Depression,23.319411764705883
Arkansas,2021,5.0,Anxiety,28.35
Arkansas,2021,5.0,Depression,21.745610561056107
Arkansas,2021,6.0,Anxiety,26.25
Arkansas,2021,6.0,Depression,22.700454545454548
Arkansas,2021,7.0,Anxiety,29.6
Arkansas,2021,7.0,Depression,22.544427244582046
Arkansas,2021,8.0,Anxiety,30.150000000000002
Arkansas,2021,8.0,Depression,25.177627986348124
Arkansas,2021,9.0,Anxiety,31.46666666666667
Arkansas,2021,9.0,Depression,23.73161048689139
Arkansas,2021,10.0,Depression,19.477911646586346
Arkansas,2021,11.0,Depression,19.565217391304348
Arkansas,2021,12.0,Anxiety,32.9
Arkansas,2021,12.0,Depression,27.054041916167666
Arkansas,2022,1.0,Anxiety,34.4
Arkansas,2022,1.0,Depression,23.97992366412214
Arkansas,2022,2.0,Depression,24.615384615384617
Arkansas,2022,3.0,Anxiety,30.0
Arkansas,2022,3.0,Depression,27.88873949579832
